title,company_type,company_size,skills,additional,views_count,english_level
Embedded-розробник,IT;,більше 1000 співробітників,", Користувач ОС Linux, Java, Користувач ОС Windows, Python, C++, Програмування, Дизайн, Обслуговування електромереж, Наполегливість, SPI, Робота з вимірювальними приладами, UART, Надійність, Знання архітектури ARM",Повна зайнятість. Досвід роботи від 5 років.,1,
Інженер-програміст у Тростянець,"Будівництво, архітектура, дизайн інтер'єру;",250–1000 співробітників,", Відповідальність, Цілеспрямованість, Програмування","Повна зайнятість. Також готові взяти студента, пенсіонера. Досвід роботи від 2 років. Вища освіта.",1,
Middle PHP developer,Автобізнес та автосервіс;,більше 1000 співробітників,", CSS, Користувач ОС Linux, HTML, PHP, MySQL, Git, JavaScript, jQuery, Vue.js, REST API, REST, Цілеспрямованість, Symfony, Doctrine, Розробка API",Повна зайнятість. Досвід роботи від 2 років.,1,
Інженер-програміст,Машинобудування;,50–250 співробітників,", Стресостійкість, Програмування, Чесність, Ініціативність",Повна зайнятість. Досвід роботи від 1 року.,1,
JS розробник,"Фінанси, банки, страхування",,", JavaScript, Git, PostgreSQL, Node.js, TypeScript, NestJS, CRUD, TypeORM",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Програміст ЧПК (фрезерні, токарні)",Машинобудування;,50–250 співробітників,", Висока працездатність",Повна зайнятість. Досвід роботи від 2 років.,1,
Python Developer,IT;,50–250 співробітників,", Java, PHP, MySQL, Git, GitHub, GitLab, JavaScript, Python, C++, PostgreSQL, React, Відповідальність, MongoDB, Docker, Програмування, Знання принципів ООП, AWS, C#",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,Англійська — середній
"Розробник програмного забезпечення, IT-спеціаліст",Сили оборони;,більше 1000 співробітників,", Відповідальність, Програмування, Системне адміністрування, Адміністрування локальної мережі, Уважність, Налаштування ПЗ, Надійність",Повна зайнятість.,1,
"Data Engineer, Python Developer",IT;,250–1000 співробітників,", Python, MongoDB, pandas",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст 1C,Роздрібна торгівля;,більше 1000 співробітників,", Користувач 1С, 1С:Підприємство, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
Програміст відділу підтримки користувачів,"Фінанси, банки, страхування;",250–1000 співробітників,,Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1C (управляючі форми),Машинобудування;,10–50 співробітників,", Користувач 1С, Комунікабельність, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1C,Легка промисловість;,50–250 співробітників,", Користувач 1С, 1С:Підприємство, Програмування, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 5 років.,1,
Програміст 1C,"Оптова торгівля, дистрибуція, імпорт, експорт;",250–1000 співробітників,", Користувач 1С, Програмування, Програмування 1С, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст 1C,Автобізнес та автосервіс;,50–250 співробітників,", SQL, Користувач 1С, 1С:Підприємство, Комунікабельність, Відповідальність, Програмування, Робота з базою даних, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 2 років.,1,
Розробник 1C,"Оптова торгівля, дистрибуція, імпорт, експорт;",250–1000 співробітників,", Користувач 1С, Користувач ERP-системи, Користувач BAS, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст 1C,Роздрібна торгівля;,250–1000 співробітників,", MS Excel, SQL, Користувач ОС Windows, Git, Користувач 1С, XML, MS SQL Server, Програмування, Робота з базою даних, Програмування 1С, Конвертація даних, Продуктивність, Ініціативність",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Full-Stack .NET/React Developer,"Металургійна промисловість, металообробка;",більше 1000 співробітників,", CSS, JavaScript, HTML, Git, C#, AJAX, React, MS SQL Server, REST API, REST, MS Azure, Web API",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст 1C,Роздрібна торгівля;,250–1000 співробітників,", SQL, Користувач 1С, Ведення бухгалтерського обліку, XML, Програмування, Робота з базою даних, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років.,1,
Full stack developer,"Освіта, наука;",50–250 співробітників,", SQL, Git, C#, React, JSON, Знання принципів ООП, MS SQL Server, REST, Продуктивність",Повна зайнятість. Досвід роботи від 2 років.,1,
.Net-розробник у Київ,Енергетика;,більше 1000 співробітників,", SQL, Git, C#, PostgreSQL, Комунікабельність, Організованість, Знання принципів MVC, ASP.NET MVC, Unit-тестування, MS SQL Server, REST API, WPF, Робота з базою даних, RabbitMQ, Доброзичливість, Web API, Розробка API, JSON Web Token",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — просунутий
Програміст мікроконтролерів,IT;,менше 10 співробітників,", Користувач ОС Windows, MATLAB, Програмування, Altium Designer, Висока працездатність, HMI","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 1 року.",1,
Frontend-розробник у Київ,Енергетика;,більше 1000 співробітників,", JavaScript, Git, CSS, Trello, SASS, Agile, Комунікабельність, Організованість, Postman, Node.js, Unit-тестування, Vue.js, REST API, REST, ECMAScript, Програмування, Frontend-розробка, GraphQL, Доброзичливість, Nuxt.js, JSON Web Token",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — просунутий
Програміст 1C,Роздрібна торгівля;,більше 1000 співробітників,", Користувач 1С, Користувач ERP-системи, Користувач BAS, Програмування, Робота з базою даних, Програмування 1С, Конвертація даних",Повна зайнятість. Досвід роботи від 1 року.,1,
Інженер-програміст АСУ,Машинобудування;,10–50 співробітників,", AutoCAD, Програмування, SCADA, Simatic WinCC, TIA Portal, EPLAN",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст 1C,Роздрібна торгівля;,250–1000 співробітників,", SQL, Користувач 1С, Ведення бухгалтерського обліку, XML, 1С УТП, Користувач BAS, Програмування, Робота з базою даних, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Embedded Developer (STM32),"Освіта, наука;",10–50 співробітників,", C++, Програмування, SPI, Робота з вимірювальними приладами, UART, C/C++",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
"Web-програміст (OpenCart, PHP, JS, CSS, HTML, MySQL, Full-Stack)",Машинобудування;,50–250 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, Користувач 1С, Bootstrap, OpenCart, SEO, jQuery, Content Management System, Okay",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
C#/.Net Developer,IT;,50–250 співробітників,", CSS, JavaScript, HTML, SQL, C#, XML, Scrum, Відповідальність, jQuery, Знання принципів MVC, ASP.NET MVC, Робота з базою даних, Знання шаблонів проєктування",Повна зайнятість. Вища освіта.,2,
Програміст 1С,,,", Користувач 1С, 1С:Підприємство, Ведення бухгалтерського обліку, XML, 1С УВП, Програмування, Програмування 1С, Продуктивність",Повна зайнятість. Досвід роботи від 5 років.,1,
"Trainee, Junior, Middle Back-End Developer (Node.js)",IT;,50–250 співробітників,", CSS, JavaScript, HTML, MySQL, Git, GitHub, PostgreSQL, MongoDB, Mongoose, Node.js, TypeScript, REST API, REST, Redis, GraphQL, SOLID Principles, TypeORM",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,
Програміст 1C,"Пошук персоналу, HR;",250–1000 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, 1С УТП, 1С УВП, Користувач BAS, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Strong Middle/Senior Frontend Developer,"Маркетинг, реклама, PR;",50–250 співробітників,", JavaScript, Git, HTML, CSS, SASS, React, React Router, React Redux, LESS, Відповідальність, webpack, Redux, TypeScript, Робота в команді, REST API, ECMAScript, Верстка, Адаптивна верстка, Дизайн, Frontend-розробка, Axios, Jest",Повна зайнятість. Досвід роботи від 2 років.,1,
PHP Developer,"Маркетинг, реклама, PR;",250–1000 співробітників,", Користувач ОС Linux, PHP, SQL, JavaScript, PostgreSQL, Відповідальність, jQuery, Content Management System, Laravel, Vue.js, MariaDB",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1C,"Будівництво, архітектура, дизайн інтер'єру;",більше 1000 співробітників,", SQL, Користувач 1С, XML, Програмування, Адміністрування 1С, Робота з базою даних, Програмування 1С, Продуктивність, Налаштування СКД",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
Програміст 1C,,,", Користувач 1С, 1С:Підприємство, Ведення бухгалтерського обліку, Програмування, Програмування 1С, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Javascript developer,"Маркетинг, реклама, PR;",50–250 співробітників,", CSS, JavaScript, HTML, SQL, Git, Надійність",Повна зайнятість. Досвід роботи від 2 років.,1,
Embedded Devices Developer (MCO 2.4),IT;,більше 1000 співробітників,", Програмування, Програмування мікроконтролерів, Надійність",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
GoLang developer,"Пошук персоналу, HR;",10–50 співробітників,", Користувач ОС Linux, SQL, Git, JavaScript, Docker, Цілеспрямованість, Уважність, Golang",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1С,Роздрібна торгівля;,більше 1000 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, XML, JSON, Цілеспрямованість, Робота з базою даних, Бажання вчитися і розвиватися, CSV",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1C,Харчова промисловість;,250–1000 співробітників,", Користувач 1С, 1С:Підприємство, Користувач ERP-системи, 1С УВП, Користувач BAS, Програмування, Адміністрування 1С, Робота з базою даних, Конвертація даних, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Middle Salesforce Developer,IT;,50–250 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — вище середнього
Junior Unity 3D программист,IT;,менше 10 співробітників,", Unity, C#, Game design, iOS-розробка","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю.",2,
Програміст BAS,Готельно-ресторанний бізнес,,,Повна зайнятість. Досвід роботи від 2 років.,1,
"Trainee, Junior Fullstack Developer (NodeJS)","Пошук персоналу, HR;",менше 10 співробітників,", Node.js, React, Frontend-розробка, Backend-розробка, Ініціативність, Продуктове мислення, Відповідальність","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера.",1,
"Системний адміністратор, програміст, бібліотекар",Послуги для населення та бізнесу;,10–50 співробітників,", Adobe Photoshop, SQL, WordPress, Користувач ОС Windows, Знання офісних програм, Адміністрування локальної мережі, Системне адміністрування, Робота з базою даних, Налаштування ПЗ, Налаштування антивірусного захисту, Ремонт ПК, LAN",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року. Вища освіта.,1,
Front-end Developer,IT;,менше 10 співробітників,", JavaScript, HTML, Git, SASS, React, LESS, Комунікабельність, webpack, Стресостійкість, TypeScript, npm, ECMAScript, Програмування, Дизайн, Адаптивний дизайн, Уміння аналізувати, Frontend-розробка, Ініціативність, Yarn, Саморозвиток, Parcel, Аналіз даних, Version Control System, Орієнтація на результат, Mocha, Інтеграційне тестування, Управління тестуванням, Користувач АБС Б2","Повна зайнятість. Також готові взяти студента, ветерана.",1,Англійська — середній
Розробник вебсайту,"Освіта, наука;",менше 10 співробітників,", Уважність, Продуктивність","Неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 2 років.",1,"Українська — вільно, англійська — середній"
PHP developer (middle),"Пошук персоналу, HR;",10–50 співробітників,", PHP, Yii, Програмування",Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 2 років.,2,Англійська — середній
Full-stack developer (PHP/Laravel),IT;,менше 10 співробітників,", PHP, MySQL, Laravel, Redis, Програмування, AWS, RabbitMQ, Backend-розробка, Tailwind CSS",Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — середній
Web-разработчик,"Маркетинг, реклама, PR;",менше 10 співробітників,", PHP, WordPress, SEO, Разработка сайтов, HTML",Неповна зайнятість. Досвід роботи від 2 років.,1,Російська — вільно
"Інженер-електронік, програміст мікроконтролерів",Машинобудування;,10–50 співробітників,", Комунікабельність, Програмування, Дизайн, Altium Designer, Програмування мікроконтролерів, Розробка друкованих плат, Бажання вчитися і розвиватися","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 1 року.",1,
Junior Java-розробник,IT;,10–50 співробітників,", Java, Робота в команді, Програмування, Бажання вчитися і розвиватися",Повна зайнятість. Також готові взяти студента.,1,
Програміст 1C,Роздрібна торгівля;,50–250 співробітників,", Користувач 1С, Програмування",Неповна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,Українська — вільно
Frontend Developer,IT;,50–250 співробітників,", Git, JavaScript, LESS, Відповідальність, Знання принципів ООП, webpack, TypeScript",Повна зайнятість. Досвід роботи від 2 років.,1,
WordPress Front-End developer,IT;,10–50 співробітників,", WordPress, JavaScript, HTML, CSS, Content Management System, Знання методології БЕМ, Верстка, Frontend-розробка, WooCommerce","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 1 року.",1,
"Програміст (Middle/Senior, PHP)",IT;,10–50 співробітників,,Повна зайнятість. Досвід роботи від 1 року.,1,
Junior Flutter Developer (Trainee),IT;,50–250 співробітників,,Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,
Unity-розробник,IT;,10–50 співробітників,", Продуктивність, Програмування, Unity, Unity-розробник, Unity 2D",Повна зайнятість. Досвід роботи від 1 року.,1,
Senior Front End Developer,Машинобудування;,10–50 співробітників,", CSS, JavaScript, HTML, Git, Jira, React, Agile, Комунікабельність, webpack, Node.js, Docker, TypeScript, Confluence, npm, REST API, Програмування, Знання принципів ООП, Дизайн, AWS, Знання методології розробки ПЗ, Респонсивний дизайн, Frontend-розробка, UI-дизайн, UX-дизайн, MS Access, CI/CD",Повна зайнятість. Досвід роботи від 1 року.,1,Англійська — вище середнього
Golang Backend Developer (Blockchain),IT;,50–250 співробітників,", REST API, CI/CD",Повна зайнятість. Досвід роботи від 1 року.,1,Англійська — середній
Unity/С# Developer,IT;,50–250 співробітників,", Git, GitHub, C#, Unity, UI-дизайн, SOLID Principles, Знание принципов ООП, Целеустремленность, Создание анимации",Повна зайнятість. Досвід роботи від 1 року.,1,
Laravel Backend Developer,IT,,", PHP, MySQL, JavaScript, React, Знання принципів ООП, Laravel, Vue.js, REST API, REST, Redis, Symfony, Backend-розробка",Повна зайнятість. Досвід роботи від 2 років.,1,
Senior Flutter Developer,IT;,10–50 співробітників,", Flutter, iOS development, Android application development, Figma","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 2 років.",1,Англійська — просунутий
Junior Wordpress Developer,"Транспорт, логістика;",10–50 співробітників,", CSS, HTML, WordPress, Elementor",Повна зайнятість. Також готові взяти студента.,1,
Middle Full Stack Web Developer (РНР),IT;,менше 10 співробітників,", CSS, JavaScript, HTML, PHP, SQL, Відповідальність, Frontend-розробка, Backend-розробка, PostgreSQL, Yii, Laravel","Повна зайнятість, неповна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 2 років. Вища освіта.",1,
Junior+ Unity Developer,IT;,менше 10 співробітників,", Unity",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,
Програміст Delphi,IT;,50–250 співробітників,", SQL, Git, Delphi, Відповідальність, Знання принципів ООП, Subversion, Програмування, Робота з базою даних, Наполегливість",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Magento-розробник,IT;,10–50 співробітників,", CSS, JavaScript, HTML, PHP, Знання принципів ООП, Magento",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,Англійська — середній
Trainee JavaScript Developer (Full Stack),IT;,10–50 співробітників,", CSS, JavaScript, HTML, Git, Знание принципов ООП, Программирование",Повна зайнятість.,1,
Системний програміст,"Пошук персоналу, HR;",10–50 співробітників,", Користувач ОС Linux, C++",Повна зайнятість. Досвід роботи від 2 років.,1,
"Інженер-електронщик, програміст МК, схемотехнік (embedded software eng.)",Машинобудування;,10–50 співробітників,", Програмування, Дизайн, Читання електричних схем, Ремонт електроніки, Altium Designer, Програмування мікроконтролерів","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 1 року. Вища освіта.",1,
Full Stack розробник,IT;,менше 10 співробітників,", JavaScript, PHP, MySQL, Git, GitHub, React, Відповідальність, Laravel, MongoDB, Node.js, SQLite, Vue.js, Здатність до навчання, REST API, ECMAScript, Angular, AngularJS, Redis, Верстка, Symfony, Frontend-розробка, NoSQL, Yii2, Стресостійкість, HTML5, CSS3, Full-stack",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,"Англійська — вище середнього, українська — вільно"
Flutter Developer,IT;,менше 10 співробітників,", Відповідальність, Організованість, Уважність",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,Англійська — вище середнього
PHP Fullstack Developer (Prestashop CMS-Support and Development),IT;,10–50 співробітників,", CSS, Користувач ОС Linux, HTML, PHP, MySQL, Git, JavaScript, jQuery, Знання принципів ООП, Content Management System, Docker, Знання принципів MVC, Composer",Повна зайнятість. Досвід роботи від 1 року.,2,Англійська — середній
Junior JavaScript Developer for Tech Support,IT;,250–1000 співробітників,", CSS, HTML, JavaScript, Jira, Ответственность, Внимательность, Инициативность","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 1 року.",1,Англійська — просунутий
"Програміст 1C, BAS",IT;,10–50 співробітників,", Користувач 1С, Користувач BAS, Програмування, Робота з базою даних, Програмування 1С, Активна життєва позиція, Продуктивність, Програмування BAS, Налаштування СКД, Бажання вчитися і розвиватися, Інтеграції через API","Повна зайнятість, неповна зайнятість. Досвід роботи від 5 років. Вища освіта.",1,
"Розробник, верстальник сайтів на Wix","Маркетинг, реклама, PR;",менше 10 співробітників,", CSS, JavaScript, HTML, SEO, Відповідальність, Верстка, Адаптивна верстка, Дизайн, Уважність, Уміння працювати в режимі багатозадачності, Wix",Повна зайнятість. Досвід роботи від 1 року.,1,Англійська — середній
Unity 3D-програміст,IT;,менше 10 співробітників,", Unity","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 1 року.",1,
Full stack программист,"Маркетинг, реклама, PR;",10–50 співробітників,", PHP, Git, Jira, PostgreSQL, SEO, Content Management System, Laravel, Docker, Vue.js, REST API, REST, Bitbucket, Symfony, CI/CD, Ответственность, Знание принципов MVC",Повна зайнятість. Досвід роботи від 5 років.,1,
Backend Developer (Symfony),IT;,10–50 співробітників,", Користувач ОС Linux, HTML, PHP, SQL, Git, Відповідальність, jQuery, Знання принципів ООП, webpack, Docker, nginx, REST API, REST, Redis, Symfony, RabbitMQ, Ініціативність, Backend-розробка",Повна зайнятість. Досвід роботи від 2 років.,1,
Python-программист,IT;,менше 10 співробітників,", Пользователь ОС Linux, HTML, SQL, Git, JavaScript, Python, PostgreSQL, Docker, Django, HTTP, Программирование, Flask, SQLAlchemy, Aiohttp, CI/CD",Неповна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 2 років.,1,
"WordPress, Shopify Developer",IT;,10–50 співробітників,", CSS, JavaScript, HTML, PHP, WordPress, React",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — вище середнього
Embedded-розробник,"Пошук персоналу, HR",,", Дизайн, Altium Designer, Паяння, Робота з вимірювальними приладами, Знання архітектури ARM","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 2 років. Вища освіта.",1,Англійська — середній
Junior Webflow Developer,IT;,менше 10 співробітників,", Уважність, Webflow, Front-End, HTML, CSS, JS, Web development",Повна зайнятість. Досвід роботи від 1 року.,1,
Node.js Developer (Trainee/Junior),IT;,50–250 співробітників,,Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,
"Strong Junior, Middle PHP developer",IT;,менше 10 співробітників,", CSS, JavaScript, HTML, Git, Laravel, Yii, Пунктуальність, PHP, Symfony","Повна зайнятість. Також готові взяти студента, людину з інвалідністю. Досвід роботи від 2 років.",1,
Sr. Full Stack Developer,IT;,50–250 співробітників,", Java, Git, React, LESS, JSON, Scrum, Відповідальність, Docker, REST API, AWS, CI/CD",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,Англійська — вище середнього
Shopify Developer,"Маркетинг, реклама, PR;",10–50 співробітників,", Відповідальність, Розробка сайтів на Shopify, HTML, CSS, JavaScript, Liquid","Повна зайнятість. Також готові взяти студента, ветерана. Досвід роботи від 1 року.",1,Англійська — середній
WordPress Developer,"Маркетинг, реклама, PR;",10–50 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, WordPress, Відповідальність, Веб-дизайн, Уважність","Повна зайнятість. Також готові взяти студента, ветерана. Досвід роботи від 1 року.",1,Англійська — середній
"Junior Full Stack Developer 70/30 (React, Node)",IT;,менше 10 співробітників,", CSS, JavaScript, HTML, Git, PostgreSQL, SASS, React, MongoDB, Node.js, TypeScript, Firebase, AWS, Ініціативність, Tailwind CSS, Проактивність, Sequelize, Material UI, Next.js",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року. Незакінчена вища освіта.,1,Англійська — початковий
"Python Developer (Mid-Level, Engineering Automatization)","Будівництво, архітектура, дизайн інтер'єру;",50–250 співробітників,", Python, Scrum, Agile, Communicability, Responsibility, Programming, Knowledge of OOP principles, Discipline, Engineering",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — вільно
"Python Developer (Mid. Level, Senior, Engineering Automatization)","Будівництво, архітектура, дизайн інтер'єру;",50–250 співробітників,", Python, C#, Communicability, Responsibility, REST, Programming, Knowledge of OOP principles, RabbitMQ, Discipline",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,Англійська — вільно
Front-End Developer (Senior or Lead),"Будівництво, архітектура, дизайн інтер'єру;",50–250 співробітників,", CSS, JavaScript, HTML, React, LESS, Communicability, Vue.js, Angular, Design, Front-end development, Initiative, Next.js",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
Провідний інженер-програміст,Державні організації;,250–1000 співробітників,", HTML, MySQL, Пунктуальність, Програмування, Наполегливість, Саморозвиток, Терплячість, Самостійність",Повна зайнятість. Вища освіта.,1,
Full stack website developer (WordPress),IT;,менше 10 співробітників,", Attentiveness, Front-end development, Teamwork",Неповна зайнятість. Досвід роботи від 1 року.,1,Англійська — середній
"Back-end розробник (PHP, Laravel)",IT;,менше 10 співробітників,", JavaScript, PHP, MySQL, Git, AJAX, jQuery, Laravel, Redis, Elasticsearch, Робота в команді, Спокійність",Повна зайнятість. Досвід роботи від 2 років.,1,
"Senior Full-Stack Developer (Angular, Node.js)",IT;,10–50 співробітників,", MongoDB, Node.js, Angular, Ionic, TypeScript",Повна зайнятість. Досвід роботи від 5 років.,1,"Російська — просунутий, англійська — вище середнього"
Junior developer (React or Java Spring),IT;,менше 10 співробітників,", Java, Java Core, MySQL, Git, JavaScript, PostgreSQL, React, Docker, TypeScript, Hibernate, Spring Framework, Мікросервісна архітектура, Apache Kafka, Prettier, Багатопоточне програмування, Бажання вчитися і розвиватися","Повна зайнятість, неповна зайнятість. Також готові взяти студента.",1,
"Програміст 1С, BAF",IT;,10–50 співробітників,", Користувач 1С, 1С:Підприємство, Організованість, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років.,1,
Webflow Developer,IT;,10–50 співробітників,,Повна зайнятість. Досвід роботи від 1 року.,1,
"Middle, Senior Full-Stack (React JS, Node JS) Developer",IT;,50–250 співробітників,", CSS, JavaScript, HTML, React, Node.js, REST API, Розробка API, Prisma, NestJS",Неповна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — середній
Unity 3D-разработчик,IT;,10–50 співробітників,", Adobe Photoshop, Java, C#, Комунікабельність, Організованість, Робота в команді, Unity",Повна зайнятість. Також готові взяти студента.,2,
Android developer,IT;,10–50 співробітників,", Java, Git, XML, JSON, Комунікабельність, Знання принципів ООП, SQLite, REST, Цілеспрямованість, RxJava, Kotlin, MVVM, Розуміння архітектури MVP, Realm, Dagger, Koin, Socket",Повна зайнятість. Також готові взяти студента.,1,
IOS-розробник,IT;,50–250 співробітників,", Знання принципів MVC, SwiftUI, Firebase, Xcode, Core Data, MVVM, UI-дизайн, Realm, Доброзичливість, Storyboard, UIKit",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1C,IT;,менше 10 співробітників,", Користувач 1С, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Web Developer (PHP, HTML/CSS/JS)",IT;,10–50 співробітників,", CSS, HTML, PHP, JavaScript, Відповідальність, Комунікабельність, Робота в команді, Веб-розробка",Повна зайнятість. Також готові взяти студента. Досвід роботи від 2 років. Вища освіта.,1,Англійська — середній
React developer,IT;,10–50 співробітників,", Відповідальність, React, Material UI, React Hooks, TypeScript, JavaScript",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — середній
Middle Full Stack Developer (MotoCMS),IT;,250–1000 співробітників,", CSS, JavaScript, PHP, SASS, LESS, Відповідальність, Організованість, ECMAScript, AngularJS, Tailwind CSS, Самостійність",Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — середній
Ruby on Rails програміст,IT;,10–50 співробітників,", CSS, Користувач ОС Linux, JavaScript, MySQL, Git, REST, Ruby, Ruby on Rails",Повна зайнятість. Досвід роботи від 1 року.,1,
Fullstack WordPress-розробник,IT;,менше 10 співробітників,", CSS, JavaScript, HTML, WordPress, SEO, WooCommerce, Elementor, ACF","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 1 року.",1,Англійська — вище середнього
PHP developer,IT;,50–250 співробітників,", CSS, HTML, PHP, MySQL, SQL, Git, GitHub, Bootstrap, JavaScript, Jira, Організованість, Docker, Знання принципів MVC, Yii, Здатність до навчання, Уважність, Composer, Doctrine, Codeception, Почуття гумору, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 2 років.,1,
Drupal developer,IT;,10–50 співробітників,", PHP, Drupal",Повна зайнятість. Досвід роботи від 1 року.,1,Англійська — середній
Middle C# Developer,IT;,менше 10 співробітників,", MySQL, SQL, Git, Jira, C#, MS SQL Server, REST API, WPF, Entity Framework, LINQ, Web API",Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — середній
Розробник екологічної документації,"Освіта, наука;",10–50 співробітників,", MS Office, Користувач ПК, Комунікабельність, Стресостійкість, Робота в команді, Дисциплінованість",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Програміст 1C,Роздрібна торгівля;,10–50 співробітників,", Користувач 1С, Організованість, 1С УТП, Користувач BAS, Програмування, Уважність",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,
PHP back-end розробник (Laravel),IT;,10–50 співробітників,", MySQL, SQL, PostgreSQL, SASS, Відповідальність, Laravel, Vue.js, LAMP, Backend-розробка, LEMP",Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 2 років.,1,
Unity Mobile Developer,IT;,менше 10 співробітників,", MS Word, Git, C#, Facebook SDK, Організованість, Unity, Програмування, Знання принципів ООП, Firebase, UI-дизайн","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 1 року.",3,
